experiment,horizon,model,observations,mean_price_mae,median_price_mae,mean_return_abs_error,directional_accuracy
Experiment 1 — Univariate Close,10,lightgbm,500,4.663606365994482,1.1806260286741899,0.11481271598323622,0.532
Experiment 1 — Univariate Close,10,naive,500,3.897812913298607,0.9267854690551758,0.09266715290942619,0.012
Experiment 1 — Univariate Close,10,xgboost,500,4.422601973987463,1.2293681811283497,0.11277158419821413,0.532
Experiment 1 — Univariate Close,20,arima,500,5.573652983625587,1.4128711452181975,0.1385646332747899,0.514
Experiment 1 — Univariate Close,20,ets,500,5.539522194299493,1.4355042922651111,0.14048913618627148,0.532
Experiment 1 — Univariate Close,20,garch,500,5.35882652136331,1.3499151445884108,0.1385753265134465,0.564
Experiment 1 — Univariate Close,20,gjr_garch,500,5.374326021583219,1.366065542167858,0.1388963488136913,0.566
Experiment 1 — Univariate Close,20,lightgbm,500,7.545564467743262,2.0578481835654223,0.19115064660080663,0.54
Experiment 1 — Univariate Close,20,naive,500,5.559366273850203,1.411107063293457,0.1385058970124373,0.0
Experiment 1 — Univariate Close,20,xgboost,500,7.266230152199298,2.103558194052317,0.18891268133125913,0.536
Experiment 2 — OHLCV,1,arima,500,1.242182244908891,0.2898337181265651,0.029825676520404798,0.492
Experiment 2 — OHLCV,1,egarch,500,1.2191471323838736,0.28850374392139067,0.029569103453299845,0.562
Experiment 2 — OHLCV,1,ets,500,1.2324319840485873,0.29395565382607813,0.029916189821483162,0.488
Experiment 2 — OHLCV,1,garch,500,1.2163914329096785,0.2904758849944926,0.029554729071448772,0.55
Experiment 2 — OHLCV,1,gjr_garch,500,1.2183814362371188,0.286117606580218,0.029580178723963874,0.56
Experiment 2 — OHLCV,1,lightgbm,500,1.4440750637447008,0.3356506659576566,0.0349569766095751,0.49
Experiment 2 — OHLCV,1,naive,500,1.2294526450037946,0.2800002098083496,0.029640430711460133,0.01
Experiment 2 — OHLCV,1,xgboost,500,1.4072914688993046,0.3379066120670644,0.034696196836512865,0.456
Experiment 2 — OHLCV,5,arima,500,2.722618062901829,0.6463548737472706,0.0648066999874338,0.52
Experiment 2 — OHLCV,5,ets,500,2.710776564116827,0.6343531735910837,0.06452038255885091,0.524
Experiment 2 — OHLCV,5,garch,500,2.6782544029999475,0.6215320571959007,0.06439468406734572,0.558
Experiment 2 — OHLCV,5,gjr_garch,500,2.6847804733220313,0.6124264982218128,0.06451823081019527,0.552
Experiment 2 — OHLCV,5,lightgbm,500,3.3004135927745404,0.8374424389349113,0.08127382291926419,0.502
Experiment 2 — OHLCV,5,naive,500,2.7178540950417513,0.6358366012573233,0.06471487530798042,0.002
Experiment 2 — OHLCV,5,xgboost,500,3.1782975021405204,0.787740429459431,0.07767224805808043,0.534
Experiment 2 — OHLCV,10,arima,500,3.910364297819216,0.9266626367186044,0.09266358034997413,0.526
Experiment 2 — OHLCV,10,ets,500,3.872923142969713,0.9424293022041859,0.09281559393764001,0.556
Experiment 2 — OHLCV,10,garch,500,3.802653036737689,0.8636412304726904,0.09225105065196813,0.558
Experiment 2 — OHLCV,10,gjr_garch,500,3.814084490623576,0.8827935648793277,0.09240495837904379,0.552
Experiment 2 — OHLCV,10,lightgbm,500,4.663606365994482,1.1806260286741899,0.11481271598323622,0.532
Experiment 2 — OHLCV,10,naive,500,3.897812913298607,0.9267854690551758,0.09266715290942619,0.012
Experiment 2 — OHLCV,10,xgboost,500,4.422601973987463,1.2293681811283497,0.11277158419821413,0.532
Experiment 2 — OHLCV,20,arima,500,5.573652983625587,1.4128711452181975,0.1385646332747899,0.514
Experiment 2 — OHLCV,20,ets,500,5.539522194299493,1.4355042922651111,0.14048913618627148,0.532
Experiment 2 — OHLCV,20,garch,500,5.35882652136331,1.3499151445884108,0.1385753265134465,0.564
Experiment 2 — OHLCV,20,gjr_garch,500,5.374326021583219,1.366065542167858,0.1388963488136913,0.566
Experiment 2 — OHLCV,20,lightgbm,500,7.545564467743262,2.0578481835654223,0.19115064660080663,0.54
Experiment 2 — OHLCV,20,naive,500,5.559366273850203,1.411107063293457,0.1385058970124373,0.0
Experiment 2 — OHLCV,20,xgboost,500,7.266230152199298,2.103558194052317,0.18891268133125913,0.536
